gage_id,NSE,NNSE
14303200,0.1122608147290812,0.5297341962292768
08176900,-0.0234727193812551,0.494199892304841
14306500,0.1092197390382059,0.528882187235932
04196800,0.001478694448193,0.5003699471314329
09492400,-0.0039188002775718,0.499022215801102
01031500,0.0053063739752605,0.5013301225576772
01054200,0.0631070435425081,0.5162907927699651
01052500,0.01196657198881,0.5030096505974704
04105700,-0.2796783329413133,0.4386583780483487
14400000,0.1903264155389381,0.5525858412183264
01055000,0.0254487749553948,0.5064441921365752
06289000,-0.1106762102427751,0.473781812268106
01022500,0.0038506632227883,0.5009645228319954
01073000,0.0378446423109838,0.5096436406431029
01137500,0.0255158867164562,0.5064614059299833
01139800,0.0169107839353392,0.504263747641394
01487000,-0.1324201877326052,0.4689507282630336
01549500,0.0164646511949072,0.5041503296638565
04057510,-0.0552112959249333,0.4865679757515915
01078000,0.0063996709510597,0.5016050536453595
01142500,0.0155564506219841,0.5039196001888943
01144000,0.0035061976346089,0.5008780887850628
14325000,0.1629043145870505,0.5443374604492722
01162500,0.0022517147021106,0.5005635631672622
01181000,0.0299043004468634,0.5075895552824278
01123000,0.0208944572923357,0.5052787627646552
01195100,0.0479212575116263,0.5122744171299514
01350140,0.0315785111184232,0.508021277784456
01057000,0.0043191053171131,0.5010821132097372
01187300,0.0529453490919752,0.5135962668195481
01365000,0.0633945679191061,0.5163674455490369
01139000,-0.01197954893057,0.4970229446574301
14308990,0.1181676194994431,0.531396956690694
01415000,0.0109668755491063,0.5027568358249775
01047000,0.0089294750977713,0.5022423804144782
01413500,0.0062031711143037,0.5015556176598421
01134500,0.0001875856280185,0.5000469008059631
01435000,0.0710033686687788,0.5184042230855993
01423000,0.015341899067562,0.5038651239375573
01350080,0.0198488411880212,0.5050119510067933
01439500,0.0194634973826163,0.5049136931727576
01440400,0.0441290451711237,0.5112811750341127
01451800,0.0338364273597419,0.5086046827005102
01170100,0.0415611340225369,0.5106107815629449
01333000,0.0112796743723895,0.5028359126788805
01169000,0.0445863378831802,0.5114007431642146
01434025,0.0573278189606706,0.5147548874998561
01491000,-0.0063410870541873,0.4984197385242462
01516500,0.0511758284499503,0.5131299244942262
01350000,0.0448131817732909,0.5114600766933196
01542810,0.0057672409009159,0.5014459798823888
09035900,-0.0029034698226526,0.4992751847838903
01440000,0.0216202605493337,0.5054641331282883
01544500,-0.0077508058182658,0.4980697789297842
14306340,0.1498963976220471,0.5405102712705884
07066000,-0.031413632020085,0.4922680365227129
01545600,-0.0045048973746066,0.4988763067178068
